Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
1,1,00:00:00.000,0.000,158,00:00:06.683,6.683,158,00:00:06.683,6.683
2,159,00:00:06.683,6.683,187,00:00:07.910,7.910,29,00:00:01.227,1.227
3,188,00:00:07.910,7.910,195,00:00:08.248,8.248,8,00:00:00.338,0.338
4,196,00:00:08.248,8.248,741,00:00:31.343,31.343,546,00:00:23.095,23.095
5,742,00:00:31.343,31.343,971,00:00:41.071,41.071,230,00:00:09.729,9.729
6,972,00:00:41.071,41.071,1120,00:00:47.374,47.374,149,00:00:06.302,6.302
7,1121,00:00:47.374,47.374,1185,00:00:50.123,50.123,65,00:00:02.749,2.749
8,1186,00:00:50.123,50.123,1221,00:00:51.646,51.646,36,00:00:01.523,1.523
9,1222,00:00:51.646,51.646,1413,00:00:59.767,59.767,192,00:00:08.121,8.121
10,1414,00:00:59.767,59.767,1436,00:01:00.740,60.740,23,00:00:00.973,0.973
11,1437,00:01:00.740,60.740,1595,00:01:07.465,67.465,159,00:00:06.725,6.725
12,1596,00:01:07.465,67.465,1653,00:01:09.918,69.918,58,00:00:02.453,2.453
13,1654,00:01:09.918,69.918,1681,00:01:11.103,71.103,28,00:00:01.184,1.184
14,1682,00:01:11.103,71.103,1697,00:01:11.779,71.779,16,00:00:00.677,0.677
15,1698,00:01:11.779,71.779,1754,00:01:14.190,74.190,57,00:00:02.411,2.411
16,1755,00:01:14.190,74.190,1773,00:01:14.994,74.994,19,00:00:00.804,0.804
17,1774,00:01:14.994,74.994,1789,00:01:15.671,75.671,16,00:00:00.677,0.677
18,1790,00:01:15.671,75.671,1797,00:01:16.009,76.009,8,00:00:00.338,0.338
19,1798,00:01:16.009,76.009,1805,00:01:16.348,76.348,8,00:00:00.338,0.338
20,1806,00:01:16.348,76.348,1834,00:01:17.574,77.574,29,00:00:01.227,1.227
21,1835,00:01:17.574,77.574,1855,00:01:18.463,78.463,21,00:00:00.888,0.888
22,1856,00:01:18.463,78.463,1862,00:01:18.759,78.759,7,00:00:00.296,0.296
23,1863,00:01:18.759,78.759,1874,00:01:19.266,79.266,12,00:00:00.508,0.508
24,1875,00:01:19.266,79.266,1884,00:01:19.689,79.689,10,00:00:00.423,0.423
25,1885,00:01:19.689,79.689,1896,00:01:20.197,80.197,12,00:00:00.508,0.508
26,1897,00:01:20.197,80.197,1905,00:01:20.577,80.577,9,00:00:00.381,0.381
27,1906,00:01:20.577,80.577,1920,00:01:21.212,81.212,15,00:00:00.634,0.634
28,1921,00:01:21.212,81.212,1927,00:01:21.508,81.508,7,00:00:00.296,0.296
29,1928,00:01:21.508,81.508,1939,00:01:22.016,82.016,12,00:00:00.508,0.508
30,1940,00:01:22.016,82.016,1994,00:01:24.342,84.342,55,00:00:02.326,2.326
31,1995,00:01:24.342,84.342,2033,00:01:25.992,85.992,39,00:00:01.650,1.650
32,2034,00:01:25.992,85.992,2042,00:01:26.372,86.372,9,00:00:00.381,0.381
33,2043,00:01:26.372,86.372,2090,00:01:28.403,88.403,48,00:00:02.030,2.030
34,2091,00:01:28.403,88.403,2139,00:01:30.475,90.475,49,00:00:02.073,2.073
35,2140,00:01:30.475,90.475,2198,00:01:32.971,92.971,59,00:00:02.496,2.496
36,2199,00:01:32.971,92.971,2234,00:01:34.493,94.493,36,00:00:01.523,1.523
37,2235,00:01:34.493,94.493,2291,00:01:36.904,96.904,57,00:00:02.411,2.411
38,2292,00:01:36.904,96.904,2331,00:01:38.596,98.596,40,00:00:01.692,1.692
39,2332,00:01:38.596,98.596,2347,00:01:39.273,99.273,16,00:00:00.677,0.677
40,2348,00:01:39.273,99.273,2478,00:01:44.814,104.814,131,00:00:05.541,5.541
41,2479,00:01:44.814,104.814,2667,00:01:52.808,112.808,189,00:00:07.994,7.994
42,2668,00:01:52.808,112.808,2694,00:01:53.950,113.950,27,00:00:01.142,1.142
43,2695,00:01:53.950,113.950,2705,00:01:54.416,114.416,11,00:00:00.465,0.465
44,2706,00:01:54.416,114.416,2725,00:01:55.262,115.262,20,00:00:00.846,0.846
45,2726,00:01:55.262,115.262,2750,00:01:56.319,116.319,25,00:00:01.057,1.057
46,2751,00:01:56.319,116.319,2783,00:01:57.715,117.715,33,00:00:01.396,1.396
47,2784,00:01:57.715,117.715,2839,00:02:00.084,120.084,56,00:00:02.369,2.369
48,2840,00:02:00.084,120.084,2856,00:02:00.803,120.803,17,00:00:00.719,0.719
49,2857,00:02:00.803,120.803,2920,00:02:03.510,123.510,64,00:00:02.707,2.707
50,2921,00:02:03.510,123.510,3114,00:02:11.716,131.716,194,00:00:08.206,8.206
51,3115,00:02:11.716,131.716,3199,00:02:15.311,135.311,85,00:00:03.595,3.595
52,3200,00:02:15.311,135.311,3247,00:02:17.341,137.341,48,00:00:02.030,2.030
53,3248,00:02:17.341,137.341,3261,00:02:17.933,137.933,14,00:00:00.592,0.592
54,3262,00:02:17.933,137.933,3269,00:02:18.272,138.272,8,00:00:00.338,0.338
55,3270,00:02:18.272,138.272,3280,00:02:18.737,138.737,11,00:00:00.465,0.465
56,3281,00:02:18.737,138.737,3290,00:02:19.160,139.160,10,00:00:00.423,0.423
57,3291,00:02:19.160,139.160,3300,00:02:19.583,139.583,10,00:00:00.423,0.423
58,3301,00:02:19.583,139.583,3310,00:02:20.006,140.006,10,00:00:00.423,0.423
59,3311,00:02:20.006,140.006,3317,00:02:20.302,140.302,7,00:00:00.296,0.296
60,3318,00:02:20.302,140.302,3327,00:02:20.725,140.725,10,00:00:00.423,0.423
61,3328,00:02:20.725,140.725,3340,00:02:21.275,141.275,13,00:00:00.550,0.550
62,3341,00:02:21.275,141.275,3356,00:02:21.952,141.952,16,00:00:00.677,0.677
63,3357,00:02:21.952,141.952,3420,00:02:24.659,144.659,64,00:00:02.707,2.707
64,3421,00:02:24.659,144.659,3502,00:02:28.127,148.127,82,00:00:03.468,3.468
65,3503,00:02:28.127,148.127,3524,00:02:29.058,149.058,22,00:00:00.931,0.931
66,3525,00:02:29.058,149.058,3704,00:02:36.671,156.671,180,00:00:07.614,7.614
67,3705,00:02:36.671,156.671,3772,00:02:39.548,159.548,68,00:00:02.876,2.876
68,3773,00:02:39.548,159.548,3821,00:02:41.620,161.620,49,00:00:02.073,2.073
69,3822,00:02:41.620,161.620,3868,00:02:43.608,163.608,47,00:00:01.988,1.988
70,3869,00:02:43.608,163.608,3894,00:02:44.708,164.708,26,00:00:01.100,1.100
71,3895,00:02:44.708,164.708,3924,00:02:45.977,165.977,30,00:00:01.269,1.269
72,3925,00:02:45.977,165.977,3934,00:02:46.400,166.400,10,00:00:00.423,0.423
73,3935,00:02:46.400,166.400,3954,00:02:47.246,167.246,20,00:00:00.846,0.846
74,3955,00:02:47.246,167.246,3970,00:02:47.923,167.923,16,00:00:00.677,0.677
75,3971,00:02:47.923,167.923,4015,00:02:49.826,169.826,45,00:00:01.903,1.903
76,4016,00:02:49.826,169.826,4081,00:02:52.618,172.618,66,00:00:02.792,2.792
77,4082,00:02:52.618,172.618,4211,00:02:58.116,178.116,130,00:00:05.499,5.499
78,4212,00:02:58.116,178.116,4244,00:02:59.512,179.512,33,00:00:01.396,1.396
79,4245,00:02:59.512,179.512,4326,00:03:02.981,182.981,82,00:00:03.468,3.468
80,4327,00:03:02.981,182.981,4397,00:03:05.984,185.984,71,00:00:03.003,3.003
81,4398,00:03:05.984,185.984,4431,00:03:07.422,187.422,34,00:00:01.438,1.438
82,4432,00:03:07.422,187.422,4438,00:03:07.718,187.718,7,00:00:00.296,0.296
83,4439,00:03:07.718,187.718,4459,00:03:08.606,188.606,21,00:00:00.888,0.888
84,4460,00:03:08.606,188.606,4602,00:03:14.655,194.655,143,00:00:06.049,6.049
85,4603,00:03:14.655,194.655,4629,00:03:15.797,195.797,27,00:00:01.142,1.142
86,4630,00:03:15.797,195.797,4706,00:03:19.054,199.054,77,00:00:03.257,3.257
87,4707,00:03:19.054,199.054,4726,00:03:19.900,199.900,20,00:00:00.846,0.846
88,4727,00:03:19.900,199.900,5005,00:03:31.701,211.701,279,00:00:11.801,11.801
89,5006,00:03:31.701,211.701,5012,00:03:31.997,211.997,7,00:00:00.296,0.296
90,5013,00:03:31.997,211.997,5103,00:03:35.846,215.846,91,00:00:03.849,3.849
91,5104,00:03:35.846,215.846,5137,00:03:37.284,217.284,34,00:00:01.438,1.438
92,5138,00:03:37.284,217.284,5251,00:03:42.106,222.106,114,00:00:04.822,4.822
93,5252,00:03:42.106,222.106,5506,00:03:52.892,232.892,255,00:00:10.786,10.786
94,5507,00:03:52.892,232.892,5722,00:04:02.028,242.028,216,00:00:09.136,9.136
95,5723,00:04:02.028,242.028,5733,00:04:02.494,242.494,11,00:00:00.465,0.465
