Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
1,1,00:00:00.000,0.000,158,00:00:06.683,6.683,158,00:00:06.683,6.683
2,159,00:00:06.683,6.683,187,00:00:07.910,7.910,29,00:00:01.227,1.227
3,188,00:00:07.910,7.910,197,00:00:08.333,8.333,10,00:00:00.423,0.423
4,198,00:00:08.333,8.333,741,00:00:31.343,31.343,544,00:00:23.010,23.010
5,742,00:00:31.343,31.343,971,00:00:41.071,41.071,230,00:00:09.729,9.729
6,972,00:00:41.071,41.071,1120,00:00:47.374,47.374,149,00:00:06.302,6.302
7,1121,00:00:47.374,47.374,1185,00:00:50.123,50.123,65,00:00:02.749,2.749
8,1186,00:00:50.123,50.123,1221,00:00:51.646,51.646,36,00:00:01.523,1.523
9,1222,00:00:51.646,51.646,1413,00:00:59.767,59.767,192,00:00:08.121,8.121
10,1414,00:00:59.767,59.767,1436,00:01:00.740,60.740,23,00:00:00.973,0.973
11,1437,00:01:00.740,60.740,1571,00:01:06.450,66.450,135,00:00:05.710,5.710
12,1572,00:01:06.450,66.450,1577,00:01:06.704,66.704,6,00:00:00.254,0.254
13,1578,00:01:06.704,66.704,1583,00:01:06.958,66.958,6,00:00:00.254,0.254
14,1584,00:01:06.958,66.958,1589,00:01:07.211,67.211,6,00:00:00.254,0.254
15,1590,00:01:07.211,67.211,1653,00:01:09.918,69.918,64,00:00:02.707,2.707
16,1654,00:01:09.918,69.918,1665,00:01:10.426,70.426,12,00:00:00.508,0.508
17,1666,00:01:10.426,70.426,1673,00:01:10.764,70.764,8,00:00:00.338,0.338
18,1674,00:01:10.764,70.764,1679,00:01:11.018,71.018,6,00:00:00.254,0.254
19,1680,00:01:11.018,71.018,1697,00:01:11.779,71.779,18,00:00:00.761,0.761
20,1698,00:01:11.779,71.779,1703,00:01:12.033,72.033,6,00:00:00.254,0.254
21,1704,00:01:12.033,72.033,1709,00:01:12.287,72.287,6,00:00:00.254,0.254
22,1710,00:01:12.287,72.287,1715,00:01:12.541,72.541,6,00:00:00.254,0.254
23,1716,00:01:12.541,72.541,1721,00:01:12.795,72.795,6,00:00:00.254,0.254
24,1722,00:01:12.795,72.795,1727,00:01:13.048,73.048,6,00:00:00.254,0.254
25,1728,00:01:13.048,73.048,1739,00:01:13.556,73.556,12,00:00:00.508,0.508
26,1740,00:01:13.556,73.556,1746,00:01:13.852,73.852,7,00:00:00.296,0.296
27,1747,00:01:13.852,73.852,1753,00:01:14.148,74.148,7,00:00:00.296,0.296
28,1754,00:01:14.148,74.148,1773,00:01:14.994,74.994,20,00:00:00.846,0.846
29,1774,00:01:14.994,74.994,1789,00:01:15.671,75.671,16,00:00:00.677,0.677
30,1790,00:01:15.671,75.671,1805,00:01:16.348,76.348,16,00:00:00.677,0.677
31,1806,00:01:16.348,76.348,1835,00:01:17.617,77.617,30,00:00:01.269,1.269
32,1836,00:01:17.617,77.617,1846,00:01:18.082,78.082,11,00:00:00.465,0.465
33,1847,00:01:18.082,78.082,1852,00:01:18.336,78.336,6,00:00:00.254,0.254
34,1853,00:01:18.336,78.336,1862,00:01:18.759,78.759,10,00:00:00.423,0.423
35,1863,00:01:18.759,78.759,1874,00:01:19.266,79.266,12,00:00:00.508,0.508
36,1875,00:01:19.266,79.266,1884,00:01:19.689,79.689,10,00:00:00.423,0.423
37,1885,00:01:19.689,79.689,1896,00:01:20.197,80.197,12,00:00:00.508,0.508
38,1897,00:01:20.197,80.197,1906,00:01:20.620,80.620,10,00:00:00.423,0.423
39,1907,00:01:20.620,80.620,1912,00:01:20.874,80.874,6,00:00:00.254,0.254
40,1913,00:01:20.874,80.874,1927,00:01:21.508,81.508,15,00:00:00.634,0.634
41,1928,00:01:21.508,81.508,1942,00:01:22.142,82.142,15,00:00:00.634,0.634
42,1943,00:01:22.142,82.142,1951,00:01:22.523,82.523,9,00:00:00.381,0.381
43,1952,00:01:22.523,82.523,1971,00:01:23.369,83.369,20,00:00:00.846,0.846
44,1972,00:01:23.369,83.369,1980,00:01:23.750,83.750,9,00:00:00.381,0.381
45,1981,00:01:23.750,83.750,1988,00:01:24.088,84.088,8,00:00:00.338,0.338
46,1989,00:01:24.088,84.088,2005,00:01:24.807,84.807,17,00:00:00.719,0.719
47,2006,00:01:24.807,84.807,2015,00:01:25.230,85.230,10,00:00:00.423,0.423
48,2016,00:01:25.230,85.230,2021,00:01:25.484,85.484,6,00:00:00.254,0.254
49,2022,00:01:25.484,85.484,2042,00:01:26.372,86.372,21,00:00:00.888,0.888
50,2043,00:01:26.372,86.372,2068,00:01:27.472,87.472,26,00:00:01.100,1.100
51,2069,00:01:27.472,87.472,2074,00:01:27.726,87.726,6,00:00:00.254,0.254
52,2075,00:01:27.726,87.726,2080,00:01:27.980,87.980,6,00:00:00.254,0.254
53,2081,00:01:27.980,87.980,2086,00:01:28.233,88.233,6,00:00:00.254,0.254
54,2087,00:01:28.233,88.233,2104,00:01:28.995,88.995,18,00:00:00.761,0.761
55,2105,00:01:28.995,88.995,2126,00:01:29.925,89.925,22,00:00:00.931,0.931
56,2127,00:01:29.925,89.925,2132,00:01:30.179,90.179,6,00:00:00.254,0.254
57,2133,00:01:30.179,90.179,2139,00:01:30.475,90.475,7,00:00:00.296,0.296
58,2140,00:01:30.475,90.475,2198,00:01:32.971,92.971,59,00:00:02.496,2.496
59,2199,00:01:32.971,92.971,2234,00:01:34.493,94.493,36,00:00:01.523,1.523
60,2235,00:01:34.493,94.493,2291,00:01:36.904,96.904,57,00:00:02.411,2.411
61,2292,00:01:36.904,96.904,2331,00:01:38.596,98.596,40,00:00:01.692,1.692
62,2332,00:01:38.596,98.596,2347,00:01:39.273,99.273,16,00:00:00.677,0.677
63,2348,00:01:39.273,99.273,2478,00:01:44.814,104.814,131,00:00:05.541,5.541
64,2479,00:01:44.814,104.814,2553,00:01:47.986,107.986,75,00:00:03.172,3.172
65,2554,00:01:47.986,107.986,2638,00:01:51.582,111.582,85,00:00:03.595,3.595
66,2639,00:01:51.582,111.582,2662,00:01:52.597,112.597,24,00:00:01.015,1.015
67,2663,00:01:52.597,112.597,2669,00:01:52.893,112.893,7,00:00:00.296,0.296
68,2670,00:01:52.893,112.893,2693,00:01:53.908,113.908,24,00:00:01.015,1.015
69,2694,00:01:53.908,113.908,2705,00:01:54.416,114.416,12,00:00:00.508,0.508
70,2706,00:01:54.416,114.416,2725,00:01:55.262,115.262,20,00:00:00.846,0.846
71,2726,00:01:55.262,115.262,2750,00:01:56.319,116.319,25,00:00:01.057,1.057
72,2751,00:01:56.319,116.319,2830,00:01:59.703,119.703,80,00:00:03.384,3.384
73,2831,00:01:59.703,119.703,2857,00:02:00.845,120.845,27,00:00:01.142,1.142
74,2858,00:02:00.845,120.845,3019,00:02:07.697,127.697,162,00:00:06.852,6.852
75,3020,00:02:07.697,127.697,3114,00:02:11.716,131.716,95,00:00:04.018,4.018
76,3115,00:02:11.716,131.716,3199,00:02:15.311,135.311,85,00:00:03.595,3.595
77,3200,00:02:15.311,135.311,3247,00:02:17.341,137.341,48,00:00:02.030,2.030
78,3248,00:02:17.341,137.341,3271,00:02:18.356,138.356,24,00:00:01.015,1.015
79,3272,00:02:18.356,138.356,3317,00:02:20.302,140.302,46,00:00:01.946,1.946
80,3318,00:02:20.302,140.302,3340,00:02:21.275,141.275,23,00:00:00.973,0.973
81,3341,00:02:21.275,141.275,3357,00:02:21.994,141.994,17,00:00:00.719,0.719
82,3358,00:02:21.994,141.994,3363,00:02:22.248,142.248,6,00:00:00.254,0.254
83,3364,00:02:22.248,142.248,3405,00:02:24.024,144.024,42,00:00:01.777,1.777
84,3406,00:02:24.024,144.024,3502,00:02:28.127,148.127,97,00:00:04.103,4.103
85,3503,00:02:28.127,148.127,3704,00:02:36.671,156.671,202,00:00:08.544,8.544
86,3705,00:02:36.671,156.671,3772,00:02:39.548,159.548,68,00:00:02.876,2.876
87,3773,00:02:39.548,159.548,3811,00:02:41.197,161.197,39,00:00:01.650,1.650
88,3812,00:02:41.197,161.197,3821,00:02:41.620,161.620,10,00:00:00.423,0.423
89,3822,00:02:41.620,161.620,3868,00:02:43.608,163.608,47,00:00:01.988,1.988
90,3869,00:02:43.608,163.608,3894,00:02:44.708,164.708,26,00:00:01.100,1.100
91,3895,00:02:44.708,164.708,3954,00:02:47.246,167.246,60,00:00:02.538,2.538
92,3955,00:02:47.246,167.246,4015,00:02:49.826,169.826,61,00:00:02.580,2.580
93,4016,00:02:49.826,169.826,4081,00:02:52.618,172.618,66,00:00:02.792,2.792
94,4082,00:02:52.618,172.618,4211,00:02:58.116,178.116,130,00:00:05.499,5.499
95,4212,00:02:58.116,178.116,4244,00:02:59.512,179.512,33,00:00:01.396,1.396
