Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
1,1,00:00:00.000,0.000,6,00:00:00.254,0.254,6,00:00:00.254,0.254
2,7,00:00:00.254,0.254,19,00:00:00.803,0.803,13,00:00:00.550,0.550
3,20,00:00:00.803,0.803,29,00:00:01.226,1.226,10,00:00:00.423,0.423
4,30,00:00:01.226,1.226,104,00:00:04.398,4.398,75,00:00:03.171,3.171
5,105,00:00:04.398,4.398,129,00:00:05.455,5.455,25,00:00:01.057,1.057
6,130,00:00:05.455,5.455,176,00:00:07.442,7.442,47,00:00:01.987,1.987
7,177,00:00:07.442,7.442,186,00:00:07.865,7.865,10,00:00:00.423,0.423
8,187,00:00:07.865,7.865,221,00:00:09.345,9.345,35,00:00:01.480,1.480
9,222,00:00:09.345,9.345,231,00:00:09.768,9.768,10,00:00:00.423,0.423
10,232,00:00:09.768,9.768,235,00:00:09.937,9.937,4,00:00:00.169,0.169
11,236,00:00:09.937,9.937,311,00:00:13.151,13.151,76,00:00:03.214,3.214
12,312,00:00:13.151,13.151,325,00:00:13.743,13.743,14,00:00:00.592,0.592
13,326,00:00:13.743,13.743,368,00:00:15.561,15.561,43,00:00:01.818,1.818
14,369,00:00:15.561,15.561,380,00:00:16.069,16.069,12,00:00:00.507,0.507
15,381,00:00:16.069,16.069,400,00:00:16.915,16.915,20,00:00:00.846,0.846
16,401,00:00:16.915,16.915,408,00:00:17.253,17.253,8,00:00:00.338,0.338
17,409,00:00:17.253,17.253,443,00:00:18.733,18.733,35,00:00:01.480,1.480
18,444,00:00:18.733,18.733,487,00:00:20.593,20.593,44,00:00:01.861,1.861
19,488,00:00:20.593,20.593,525,00:00:22.200,22.200,38,00:00:01.607,1.607
20,526,00:00:22.200,22.200,582,00:00:24.611,24.611,57,00:00:02.410,2.410
21,583,00:00:24.611,24.611,909,00:00:38.438,38.438,327,00:00:13.828,13.828
22,910,00:00:38.438,38.438,915,00:00:38.692,38.692,6,00:00:00.254,0.254
23,916,00:00:38.692,38.692,945,00:00:39.961,39.961,30,00:00:01.269,1.269
24,946,00:00:39.961,39.961,1013,00:00:42.836,42.836,68,00:00:02.875,2.875
25,1014,00:00:42.836,42.836,1095,00:00:46.303,46.303,82,00:00:03.467,3.467
26,1096,00:00:46.303,46.303,1131,00:00:47.826,47.826,36,00:00:01.522,1.522
27,1132,00:00:47.826,47.826,1162,00:00:49.137,49.137,31,00:00:01.311,1.311
28,1163,00:00:49.137,49.137,1168,00:00:49.390,49.390,6,00:00:00.254,0.254
29,1169,00:00:49.390,49.390,1283,00:00:54.253,54.253,115,00:00:04.863,4.863
30,1284,00:00:54.253,54.253,1365,00:00:57.721,57.721,82,00:00:03.467,3.467
31,1366,00:00:57.721,57.721,1395,00:00:58.989,58.989,30,00:00:01.269,1.269
32,1396,00:00:58.989,58.989,1485,00:01:02.795,62.795,90,00:00:03.806,3.806
33,1486,00:01:02.795,62.795,1632,00:01:09.011,69.011,147,00:00:06.216,6.216
34,1633,00:01:09.011,69.011,1877,00:01:19.371,79.371,245,00:00:10.360,10.360
35,1878,00:01:19.371,79.371,1919,00:01:21.147,81.147,42,00:00:01.776,1.776
36,1920,00:01:21.147,81.147,1934,00:01:21.782,81.782,15,00:00:00.634,0.634
37,1935,00:01:21.782,81.782,1952,00:01:22.543,82.543,18,00:00:00.761,0.761
38,1953,00:01:22.543,82.543,2007,00:01:24.869,84.869,55,00:00:02.326,2.326
39,2008,00:01:24.869,84.869,2091,00:01:28.421,88.421,84,00:00:03.552,3.552
40,2092,00:01:28.421,88.421,2316,00:01:37.935,97.935,225,00:00:09.514,9.514
41,2317,00:01:37.935,97.935,2354,00:01:39.542,99.542,38,00:00:01.607,1.607
42,2355,00:01:39.542,99.542,2362,00:01:39.880,99.880,8,00:00:00.338,0.338
43,2363,00:01:39.880,99.880,2380,00:01:40.641,100.641,18,00:00:00.761,0.761
44,2381,00:01:40.641,100.641,2401,00:01:41.529,101.529,21,00:00:00.888,0.888
45,2402,00:01:41.529,101.529,2444,00:01:43.348,103.348,43,00:00:01.818,1.818
46,2445,00:01:43.348,103.348,2450,00:01:43.601,103.601,6,00:00:00.254,0.254
47,2451,00:01:43.601,103.601,2460,00:01:44.024,104.024,10,00:00:00.423,0.423
48,2461,00:01:44.024,104.024,2483,00:01:44.997,104.997,23,00:00:00.973,0.973
49,2484,00:01:44.997,104.997,2529,00:01:46.942,106.942,46,00:00:01.945,1.945
50,2530,00:01:46.942,106.942,2563,00:01:48.380,108.380,34,00:00:01.438,1.438
51,2564,00:01:48.380,108.380,2595,00:01:49.733,109.733,32,00:00:01.353,1.353
52,2596,00:01:49.733,109.733,2623,00:01:50.917,110.917,28,00:00:01.184,1.184
53,2624,00:01:50.917,110.917,2649,00:01:52.016,112.016,26,00:00:01.099,1.099
54,2650,00:01:52.016,112.016,2655,00:01:52.270,112.270,6,00:00:00.254,0.254
55,2656,00:01:52.270,112.270,2675,00:01:53.116,113.116,20,00:00:00.846,0.846
56,2676,00:01:53.116,113.116,2701,00:01:54.215,114.215,26,00:00:01.099,1.099
57,2702,00:01:54.215,114.215,2747,00:01:56.160,116.160,46,00:00:01.945,1.945
58,2748,00:01:56.160,116.160,2769,00:01:57.091,117.091,22,00:00:00.930,0.930
59,2770,00:01:57.091,117.091,2773,00:01:57.260,117.260,4,00:00:00.169,0.169
60,2774,00:01:57.260,117.260,2803,00:01:58.528,118.528,30,00:00:01.269,1.269
61,2804,00:01:58.528,118.528,2807,00:01:58.698,118.698,4,00:00:00.169,0.169
62,2808,00:01:58.698,118.698,2835,00:01:59.882,119.882,28,00:00:01.184,1.184
63,2836,00:01:59.882,119.882,2999,00:02:06.817,126.817,164,00:00:06.935,6.935
64,3000,00:02:06.817,126.817,3050,00:02:08.973,128.973,51,00:00:02.157,2.157
65,3051,00:02:08.973,128.973,3197,00:02:15.189,135.189,147,00:00:06.216,6.216
66,3198,00:02:15.189,135.189,3201,00:02:15.358,135.358,4,00:00:00.169,0.169
67,3202,00:02:15.358,135.358,3209,00:02:15.697,135.697,8,00:00:00.338,0.338
68,3210,00:02:15.697,135.697,3214,00:02:15.908,135.908,5,00:00:00.211,0.211
69,3215,00:02:15.908,135.908,3275,00:02:18.488,138.488,61,00:00:02.579,2.579
70,3276,00:02:18.488,138.488,3290,00:02:19.122,139.122,15,00:00:00.634,0.634
71,3291,00:02:19.122,139.122,3298,00:02:19.460,139.460,8,00:00:00.338,0.338
72,3299,00:02:19.460,139.460,3318,00:02:20.306,140.306,20,00:00:00.846,0.846
73,3319,00:02:20.306,140.306,3333,00:02:20.940,140.940,15,00:00:00.634,0.634
74,3334,00:02:20.940,140.940,3349,00:02:21.617,141.617,16,00:00:00.677,0.677
75,3350,00:02:21.617,141.617,3396,00:02:23.604,143.604,47,00:00:01.987,1.987
76,3397,00:02:23.604,143.604,3406,00:02:24.027,144.027,10,00:00:00.423,0.423
77,3407,00:02:24.027,144.027,3428,00:02:24.957,144.957,22,00:00:00.930,0.930
78,3429,00:02:24.957,144.957,3440,00:02:25.465,145.465,12,00:00:00.507,0.507
79,3441,00:02:25.465,145.465,3451,00:02:25.930,145.930,11,00:00:00.465,0.465
80,3452,00:02:25.930,145.930,3456,00:02:26.141,146.141,5,00:00:00.211,0.211
81,3457,00:02:26.141,146.141,3463,00:02:26.437,146.437,7,00:00:00.296,0.296
82,3464,00:02:26.437,146.437,3471,00:02:26.776,146.776,8,00:00:00.338,0.338
